Date,Date.2,Match No.,Time,Home_team,Away_team,Stadium,City,Round,Home_team_score,Away_team_score,Remark,Referee_name,Assistant Referee 1,Assistant Referee 2,Fourth official
Sun ,24/01/2010,113,8:00:00 PM,Al-Hazem,Al-Hilal,Alhazm Club Stadium,Al-Ras,19,0,2,,VLK Mario,SLYSKO Roman,WEISS Erik,Saleh Al-Aqeel
Sun ,24/01/2010,114,8:00:00 PM,Al-Nassr,Al-Ittihad,King Fahad International Stadium,Riyadh,19,0,1,,MALEK Robert,MYRMUS Krzysztof,LIS Marcin,Abdullah Al-Sumait
Thu ,28/01/2010,115,8:10:00 PM,Al-Hilal,Al-Ettifaq,King Fahad International Stadium,Riyadh,20,1,0,,TRUTZ Richard,MOKOS Tomas,CHLÁDEK Peter,Daffer Al-Shehri
Thu ,28/01/2010,116,8:10:00 PM,Al-Ittihad,Al-Shabab,Prince Abdullah Al-Faisal Stadium,Jeddah,20,1,2,,Manuel Jorge Sousa,José Ramalho,Serafem Noguera,Sami Al-Nemri
Thu ,28/01/2010,117,8:10:00 PM,Al-Wehda,Al-Fateh,King Abdul Aziz Sport City Stadium,Makkah,20,6,0,,Abdullah Al-Qahtani,Abdulaziz Al-Kathiri,Abdulwahab Al-Zahrani,Abdelrahman Al-Malki
Fri ,29/01/2010,118,8:10:00 PM,Al-Qadsiah,Al-Hazem,Prince Saud Bin Jalawi Sport City Stadium,Al-Khobar,20,3,1,,Abdelrahman Al-Qahtani,Moaid Al-Sayeg,Waleed Al-boaimi,Fahad Al-Oraini
Fri ,29/01/2010,119,8:10:00 PM,Najran,Al-Raed,AlAkhdoud Club Stadium,Najran,20,0,1,,Fahad Al-Mirdasi,Yousef Merza,Ahmed Fakihi,Mohammed Al-Harthi
Sat ,30/01/2010,120,8:10:00 PM,Al-Nassr,Al-Ahli,King Fahad International Stadium,Riyadh,20,1,1,,BORSKI Marcin,WIERZBOWSKI Maciej,SOKOLNICKI Pawel,Metref Al-Qahtani
Mon ,01/02/2010,31,8:10:00 PM,Al-Ittihad,Al-Wehda,Prince Abdullah Al-Faisal Stadium,Jeddah,6,2,0,delayed match,PEREIRA Gomes Duarte Nuno,CUNHA Bertino,FERNANDES Alfredo Augusto,Abdulrahman Al-Amri
Thu ,25/02/2010,3,8:20:00 PM,Al-Nassr,Al-Hazem,Prince Faisal bin Fahad Stadium,Riyadh,1,1,0,delayed match,Abdullah Al-Qubaisi,Yahya Al-Shahrani,Abdullah Asiri,Daffer Al-Shehri
Thu ,04/03/2010,9,8:20:00 PM,Al-Hazem,Al-Ahli,Alhazm Club Stadium,Al-Ras,2,1,1,delayed match,Khalid Al-Zahrani,Bader Al-Shamrani,Saleh Al-Mutairi,Saleh Al-Aqeel
