Date,Date.2,Match No.,Time,Home_team,Away_team,Stadium,City,Round,Home_team_score,Away_team_score,Remark,Attendance,Referee_name,Assistant_referee_1_name,Assistant_referee_2_name,Fourth_official_name
Sun ,20/03/2011,135,8:30:00 PM,Al-Wehda,Al-Nassr,King Abdul Aziz Sport City Stadium,Makkah,20,1,3,,2921,Khalil Al-Ghamdi,Khaled Al-Degairi,Hisham Al-Refai,Abdelrahman Al-Malki
Sun ,20/03/2011,137,8:30:00 PM,Al-Hilal,Al-Ittihad,King Fahad International Stadium,Riyadh,20,0,0,,19212,HAENNI Nikolaj,Charles Alexandre Helbling,Johannes Vogel,Abdulaziz Al-Funaitel
Fri ,01/04/2011,141,8:35:00 PM,Al-Nassr,Al-Raed,Prince Faisal bin Fahad Stadium,Riyadh,21,1,0,,3136,Abdulrahman Al-Amri,Nassir Al-Mudhaffr,Fahad Al-Amri,Saad Al-Kathiri
Fri ,01/04/2011,142,8:35:00 PM,Al-Ettifaq,Al-Hilal,Prince Mohamed bin Fahd Stadium,Dammam,21,2,3,,21174,EISNER Rene,STRASSER Klaus,TRUNNER Christian,Hussin Al-Setri
Fri ,01/04/2011,143,8:35:00 PM,Al-Ittihad,Al-Taawoun,Prince Abdullah Al-Faisal Stadium,Jeddah,21,0,1,,4037,Khalil Al-Ghamdi,Abdulaziz Al-Asmari,Saleh Al-Mutairi,Abdelrahman Al-Malki
Fri ,01/04/2011,145,8:35:00 PM,Al-Hazem,Al-Shabab,Alhazm Club Stadium,Al-Ras,21,0,4,,82,Mansor Al-Shamari,Meshal Al-Thiban,Mohammed Al-Zahrani,Mohammed Al-Owais
Sat ,02/04/2011,144,8:35:00 PM,Al-Qadsiah,Al-Ahli,Prince Mohamed bin Fahd Stadium,Dammam,21,1,3,,1432,Meree Al-Awagi,Moaid Al-Sayeg,Mohammed Al-Abkari,Abdulrahman Al-Ahmri
Sat ,02/04/2011,146,8:35:00 PM,Najran,Al-Faisaly,AlAkhdoud Club Stadium,Najran,21,0,1,,709,Metref Al-Qahtani,Hmood Al-Shamari,Yahya Al-Meteq,Abdulrahman Al-Shehri
Sat ,02/04/2011,147,8:35:00 PM,Al-Fateh,Al-Wehda,Prince Abdullah Bin Jalawi Sport City Stadium,Al-Ahsa,21,2,1,,895,Abdelrahman Al-Qahtani,Abdulaziz Al-Kathiri,Abdullah Asiri,Mohammed Al-Hoaish
Thu ,07/04/2011,149,8:35:00 PM,Al-Ettifaq,Al-Raed,Prince Mohamed bin Fahd Stadium,Dammam,22,2,2,,628,Abbas Ibrahim,Yahya Al-Meteq,Ziad Al-Mansor,Mansor Al-Shamari
